지역번호,지역명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온관측지점,평균최저기온(℃),최저기온(℃),최저기온관측지점
0,전국,2022-12,-1.4,3.8,16.9,서귀포,-6,-21.8,대관령
0,전국,2022-11,9.6,16.5,27.4,제주,3.9,-12.2,대관령
0,전국,2022-10,14,20.1,32.8,강릉,8.9,-4,대관령
0,전국,2022-09,21,26.3,35,강진군,16.6,2.5,대관령
0,전국,2022-08,25.3,29.1,37.9,포항,22.1,7,대관령
0,전국,2022-07,25.9,30.3,37.2,의성,22.5,14,대관령
0,전국,2022-06,22.4,27.2,37.1,대구,18.3,5.6,대관령
0,전국,2022-05,18,24.6,33.6,경주시,밀양,11.5,-2.7,대관령
0,전국,2022-04,13.8,20.4,31.3,강릉,경주시,7.5,-5.2,대관령
0,전국,2022-03,7.7,13.7,23.9,함양군,2,-12.5,대관령
0,전국,2022-02,-0.1,5.7,16.9,의령군,-5.4,-19.4,대관령
0,전국,2022-01,-0.8,5,14.8,고산,-6,-20.4,대관령