지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,2022-01,-2.2,2.6,8.4,2022-01-24,-6.2,-11.3,2022-01-12
108,서울,2022-02,-1.1,3.8,11.5,2022-02-28,-5.3,-10.7,2022-02-17
108,서울,2022-03,7.7,12.7,19.5,2022-03-12,3.2,-3.0,2022-03-06
108,서울,2022-04,14.8,20.6,28.7,2022-04-26,10.0,3.5,2022-04-03
108,서울,2022-05,19.1,25.0,30.7,2022-05-23,13.9,7.9,2022-05-01
108,서울,2022-06,23.3,27.5,32.7,2022-06-11,19.8,14.9,2022-06-15
108,서울,2022-07,27.3,31.0,36.1,2022-07-30,24.2,20.8,2022-07-21
108,서울,2022-08,25.7,28.9,32.9,2022-08-04,23.1,16.1,2022-08-28
108,서울,2022-09,22.4,27.2,32.5,2022-09-18,18.2,12.3,2022-09-24
108,서울,2022-10,14.6,19.7,27.6,2022-10-01,10.3,4.4,2022-10-19
108,서울,2022-11,10.0,15.4,22.1,2022-11-11,5.6,-8.1,2022-11-30
108,서울,2022-12,-2.8,1.7,10.2,2022-12-09,-6.6,-13.7,2022-12-23